airline,origin,destination,departure_hour,month,day_of_week,distance,weather,delay_minutes,delayed
UK,HYD,CCU,17,1,Friday,800,Rain,23,1
UK,HYD,DEL,4,7,Thursday,1532,Cloudy,4,0
6E,DEL,HYD,1,7,Tuesday,695,Rain,21,1
SG,DEL,CCU,18,12,Wednesday,1036,Fog,57,1
SG,DEL,CCU,16,12,Friday,1067,Rain,56,1
AI,CCU,BLR,22,11,Tuesday,718,Cloudy,17,1
UK,DEL,BOM,14,11,Tuesday,1234,Rain,16,1
QP,HYD,MAA,11,11,Sunday,830,Clear,0,0
6E,BLR,HYD,16,7,Thursday,1143,Fog,32,1
6E,DEL,BLR,19,11,Thursday,1629,Clear,2,0
QP,CCU,MAA,15,10,Monday,1544,Clear,4,0
AI,DEL,HYD,7,5,Monday,853,Clear,10,0
6E,CCU,BLR,21,11,Friday,1598,Rain,9,0
UK,MAA,BLR,16,1,Wednesday,1615,Clear,0,0
SG,MAA,DEL,21,2,Tuesday,1096,Cloudy,0,0
AI,DEL,BOM,13,2,Tuesday,1412,Clear,7,0
UK,CCU,DEL,10,7,Saturday,1157,Clear,1,0
AI,HYD,DEL,20,1,Sunday,508,Rain,25,1
SG,BLR,MAA,14,3,Tuesday,1214,Clear,0,0
SG,MAA,DEL,18,3,Tuesday,1748,Cloudy,18,1
UK,BLR,CCU,21,3,Saturday,1098,Rain,18,1
6E,BOM,CCU,6,1,Thursday,1393,Clear,0,0
AI,BOM,MAA,4,3,Saturday,1377,Clear,14,0
QP,HYD,MAA,3,4,Saturday,1841,Clear,0,0
SG,HYD,BLR,14,10,Saturday,1087,Clear,2,0
6E,BOM,DEL,19,8,Tuesday,836,Rain,54,1
UK,BOM,CCU,23,4,Thursday,1257,Clear,0,0
SG,CCU,HYD,0,2,Thursday,1344,Clear,2,0
SG,HYD,MAA,0,7,Sunday,1453,Cloudy,12,0
UK,CCU,MAA,16,4,Friday,1172,Cloudy,4,0
6E,BOM,MAA,6,9,Saturday,1759,Clear,13,0
SG,BOM,BLR,11,3,Sunday,875,Clear,4,0
SG,BOM,BLR,1,12,Friday,697,Clear,16,1
UK,HYD,BLR,1,2,Friday,1509,Clear,0,0
AI,MAA,HYD,12,11,Thursday,699,Clear,1,0
UK,HYD,MAA,16,9,Monday,1626,Cloudy,7,0
SG,BOM,HYD,21,9,Saturday,766,Rain,37,1
QP,CCU,BOM,11,11,Wednesday,1427,Clear,0,0
UK,HYD,DEL,15,6,Monday,1568,Clear,0,0
6E,BLR,HYD,20,9,Wednesday,1801,Clear,0,0
UK,DEL,MAA,10,7,Wednesday,1377,Rain,33,1
AI,HYD,BOM,5,9,Wednesday,683,Cloudy,26,1
AI,HYD,MAA,19,7,Tuesday,906,Rain,28,1
SG,CCU,DEL,0,12,Sunday,1267,,15,1
QP,BOM,CCU,6,4,Sunday,1427,Clear,3,0
QP,DEL,MAA,3,9,Monday,738,Rain,21,1
UK,CCU,MAA,15,2,Thursday,1202,Clear,0,0
AI,HYD,MAA,6,1,Wednesday,1739,Clear,8,0
QP,DEL,BLR,8,9,Saturday,406,Cloudy,22,1
UK,DEL,CCU,15,3,Thursday,1165,Cloudy,0,0
6E,BLR,MAA,7,1,Friday,1257,Clear,0,0
QP,HYD,BOM,8,8,Monday,1593,Cloudy,18,1
SG,BOM,CCU,11,8,Friday,888,Clear,25,1
SG,BLR,MAA,2,8,Thursday,768,Rain,33,1
6E,MAA,BOM,22,6,Sunday,993,Rain,15,1
QP,CCU,BOM,23,10,Monday,854,Cloudy,8,0
UK,BLR,BOM,17,1,Wednesday,1652,Clear,17,1
UK,BLR,HYD,2,2,Saturday,1482,Clear,0,0
SG,BLR,MAA,11,5,Tuesday,1132,Rain,32,1
SG,DEL,CCU,8,12,Tuesday,969,Clear,11,0
AI,DEL,HYD,3,9,Wednesday,319,Clear,8,0
6E,CCU,MAA,21,7,Thursday,516,Fog,31,1
6E,DEL,BOM,9,12,Monday,1187,Rain,23,1
QP,MAA,BLR,15,12,Friday,1408,Storm,38,1
SG,BOM,MAA,16,2,Saturday,1725,Clear,20,1
6E,MAA,CCU,7,7,Wednesday,675,Clear,4,0
SG,CCU,MAA,8,12,Tuesday,665,Clear,10,0
SG,MAA,HYD,23,3,Wednesday,1150,Cloudy,7,0
6E,MAA,DEL,19,2,Friday,701,Rain,31,1
UK,BOM,BLR,12,5,Thursday,1594,Clear,6,0
QP,HYD,DEL,12,12,Friday,941,Clear,0,0
UK,HYD,CCU,0,3,Saturday,1299,Rain,13,0
AI,BLR,MAA,4,8,Sunday,1431,Clear,17,1
SG,DEL,MAA,0,4,Thursday,1209,Clear,6,0
UK,CCU,BOM,19,9,Saturday,517,Fog,48,1
UK,BOM,DEL,22,11,Thursday,741,Clear,0,0
SG,CCU,MAA,3,1,Monday,689,Rain,31,1
QP,CCU,BOM,6,5,Friday,775,Fog,21,1
6E,DEL,HYD,8,7,Sunday,1065,Rain,33,1
UK,MAA,BOM,19,3,Wednesday,411,Clear,0,0
AI,HYD,DEL,9,8,Thursday,670,Cloudy,21,1
SG,BOM,CCU,1,5,Saturday,1558,Cloudy,20,1
UK,MAA,HYD,14,1,Saturday,833,Fog,13,0
6E,DEL,BOM,3,8,Monday,337,Clear,2,0
SG,BOM,MAA,15,1,Monday,1041,Cloudy,29,1
UK,CCU,BOM,20,3,Thursday,1723,Rain,28,1
UK,MAA,BOM,1,2,Monday,751,Clear,0,0
UK,DEL,HYD,23,1,Sunday,1005,Cloudy,3,0
6E,DEL,CCU,15,5,Friday,1749,Clear,13,0
AI,BOM,DEL,1,11,Friday,1730,Clear,11,0
QP,DEL,BLR,5,4,Friday,994,Clear,6,0
AI,BOM,CCU,4,3,Thursday,726,Clear,4,0
6E,HYD,BOM,21,10,Monday,860,Clear,0,0
SG,DEL,BLR,17,12,Saturday,1566,Cloudy,21,1
AI,BOM,MAA,8,4,Thursday,773,Clear,8,0
SG,BOM,BLR,12,1,Wednesday,1759,Clear,19,1
SG,CCU,DEL,8,10,Thursday,1191,Clear,8,0
SG,CCU,BOM,9,8,Thursday,1082,Cloudy,32,1
6E,CCU,BOM,15,12,Sunday,1452,Clear,0,0
AI,BLR,MAA,4,8,Tuesday,1767,Cloudy,0,0
QP,HYD,MAA,18,12,Tuesday,1617,Rain,25,1
6E,HYD,BLR,22,2,Monday,774,Rain,0,0
QP,CCU,DEL,23,2,Friday,739,Cloudy,14,0
AI,MAA,BLR,4,8,Monday,601,Cloudy,0,0
AI,CCU,BOM,9,9,Saturday,1249,Cloudy,22,1
SG,HYD,BOM,6,5,Saturday,1573,Clear,0,0
QP,CCU,DEL,15,6,Friday,823,Clear,4,0
QP,MAA,CCU,7,5,Thursday,1042,Storm,43,1
SG,MAA,HYD,9,1,Wednesday,1537,Rain,28,1
6E,HYD,MAA,3,11,Sunday,385,Cloudy,0,0
QP,BLR,BOM,13,11,Saturday,527,Cloudy,1,0
SG,HYD,MAA,12,12,Tuesday,858,Cloudy,2,0
AI,BLR,BOM,13,7,Tuesday,1598,Clear,1,0
AI,HYD,BLR,8,3,Tuesday,1730,Clear,0,0
QP,BOM,HYD,18,5,Thursday,1855,Clear,17,1
6E,MAA,CCU,14,9,Friday,1708,Rain,27,1
SG,HYD,CCU,4,3,Tuesday,467,Cloudy,13,0
AI,MAA,HYD,8,2,Monday,735,Clear,5,0
6E,BOM,HYD,15,12,Wednesday,1657,Clear,0,0
6E,MAA,BLR,2,1,Thursday,867,Rain,11,0
6E,MAA,CCU,8,8,Friday,637,Rain,33,1
SG,DEL,CCU,20,2,Monday,1057,Rain,50,1
QP,BLR,BOM,10,1,Friday,1568,Clear,4,0
QP,MAA,CCU,12,8,Tuesday,1623,Clear,10,0
SG,CCU,BLR,16,3,Wednesday,1065,Cloudy,23,1
6E,MAA,HYD,7,9,Thursday,603,Clear,0,0
QP,BLR,HYD,19,10,Monday,1564,Clear,5,0
UK,BOM,MAA,0,7,Thursday,623,Clear,0,0
UK,CCU,BLR,11,3,Monday,556,Cloudy,0,0
SG,CCU,BLR,14,12,Tuesday,1391,Clear,13,0
SG,CCU,MAA,5,5,Thursday,779,Clear,17,1
QP,BOM,HYD,18,10,Tuesday,519,Clear,10,0
UK,BLR,MAA,1,3,Thursday,1994,Clear,0,0
SG,BOM,BLR,15,2,Tuesday,1210,Cloudy,9,0
SG,CCU,MAA,15,9,Thursday,1387,Rain,31,1
6E,CCU,HYD,18,3,Monday,1300,Clear,10,0
6E,BOM,BLR,4,7,Tuesday,1583,Cloudy,0,0
SG,BOM,BLR,3,8,Sunday,1456,Clear,25,1
AI,HYD,MAA,13,2,Wednesday,1473,Cloudy,0,0
6E,BLR,MAA,23,4,Friday,1108,Rain,21,1
SG,BLR,DEL,18,3,Monday,524,Clear,13,0
QP,BLR,CCU,5,1,Monday,1675,Rain,14,0
UK,MAA,BLR,9,12,Saturday,1255,Clear,3,0
6E,CCU,DEL,6,1,Wednesday,1149,Fog,21,1
UK,CCU,BOM,18,10,Wednesday,935,Rain,18,1
SG,BLR,MAA,12,5,Tuesday,1625,Clear,7,0
UK,MAA,BOM,10,4,Tuesday,1569,Cloudy,7,0
AI,MAA,BOM,0,7,Tuesday,1400,Clear,3,0
UK,BOM,BLR,15,11,Saturday,832,Storm,37,1
UK,MAA,DEL,10,8,Sunday,1101,Clear,11,0
SG,BLR,HYD,0,1,Monday,789,Cloudy,7,0
QP,HYD,DEL,4,10,Monday,1259,Clear,0,0
QP,MAA,CCU,17,10,Friday,525,Clear,16,1
SG,CCU,BLR,17,12,Sunday,1291,Rain,42,1
6E,CCU,BOM,11,3,Wednesday,1826,Cloudy,0,0
UK,MAA,BLR,18,11,Saturday,813,Clear,0,0
AI,HYD,BOM,17,5,Monday,1178,Fog,31,1
QP,BLR,BOM,14,5,Saturday,1020,Fog,24,1
QP,BLR,DEL,5,8,Sunday,1706,Rain,37,1
QP,CCU,MAA,10,7,Thursday,1717,Clear,3,0
6E,BOM,CCU,19,3,Friday,1533,Rain,36,1
6E,HYD,BLR,7,3,Tuesday,1326,Clear,0,0
QP,MAA,DEL,15,8,Saturday,924,Cloudy,7,0
UK,DEL,HYD,19,12,Saturday,1548,Storm,61,1
SG,HYD,MAA,12,3,Saturday,572,Clear,0,0
UK,BOM,BLR,12,7,Saturday,1484,Clear,3,0
UK,BOM,CCU,4,4,Monday,931,Rain,25,1
SG,HYD,DEL,11,3,Thursday,1009,Clear,3,0
QP,DEL,HYD,1,10,Thursday,1458,Clear,1,0
6E,DEL,BOM,2,9,Monday,1125,Clear,2,0
QP,BLR,CCU,13,6,Saturday,944,Cloudy,8,0
6E,HYD,BOM,5,6,Tuesday,793,Clear,0,0
UK,DEL,CCU,8,6,Wednesday,880,Clear,1,0
QP,BLR,MAA,8,12,Monday,548,Fog,40,1
QP,BOM,BLR,11,12,Saturday,1543,Rain,40,1
QP,HYD,MAA,16,1,Tuesday,1602,Cloudy,14,0
6E,BOM,DEL,10,10,Thursday,1325,Clear,0,0
QP,DEL,CCU,20,5,Thursday,697,Rain,41,1
QP,HYD,BOM,11,8,Monday,1538,Clear,1,0
QP,CCU,MAA,23,12,Saturday,1275,Fog,32,1
AI,HYD,CCU,23,6,Monday,940,Clear,2,0
SG,BLR,HYD,10,6,Friday,1205,Rain,48,1
QP,BLR,DEL,18,8,Tuesday,578,Fog,39,1
SG,DEL,BOM,10,4,Friday,673,Clear,19,1
6E,BOM,MAA,21,4,Tuesday,968,Clear,0,0
SG,BLR,DEL,18,8,Saturday,489,Clear,24,1
AI,HYD,DEL,8,3,Thursday,1678,Clear,9,0
UK,BLR,HYD,7,8,Friday,1754,Clear,8,0
SG,CCU,DEL,21,3,Sunday,929,Clear,0,0
UK,HYD,BOM,12,2,Thursday,1016,Clear,0,0
SG,DEL,HYD,16,2,Saturday,1417,Clear,22,1
6E,HYD,BOM,16,4,Saturday,852,Clear,1,0
SG,HYD,CCU,3,2,Wednesday,1620,Rain,24,1
SG,DEL,CCU,5,4,Wednesday,518,Clear,8,0
SG,BLR,DEL,21,6,Friday,1148,Clear,14,0
6E,CCU,BOM,6,3,Sunday,545,Clear,0,0
6E,BLR,CCU,20,7,Monday,1399,Clear,14,0
6E,BLR,DEL,8,5,Monday,1502,Clear,0,0
UK,BOM,BLR,20,1,Tuesday,1107,Clear,8,0
UK,DEL,CCU,13,5,Friday,1771,Clear,0,0
6E,BOM,HYD,2,1,Wednesday,1374,Clear,13,0
UK,MAA,BOM,6,9,Thursday,735,Clear,0,0
6E,CCU,DEL,22,6,Wednesday,1217,Cloudy,0,0
6E,HYD,BLR,4,8,Wednesday,1225,Fog,25,1
SG,MAA,HYD,5,2,Saturday,1380,Cloudy,4,0
QP,HYD,DEL,3,6,Thursday,1264,Clear,2,0
6E,HYD,MAA,14,10,Wednesday,1498,Clear,0,0
QP,BLR,DEL,19,3,Monday,659,Cloudy,20,1
UK,DEL,BOM,22,12,Wednesday,444,Cloudy,0,0
AI,BLR,CCU,21,6,Saturday,1019,Clear,8,0
6E,CCU,MAA,21,2,Monday,560,Rain,27,1
AI,HYD,MAA,21,3,Wednesday,1082,Clear,0,0
AI,MAA,HYD,13,6,Tuesday,1016,Clear,0,0
6E,DEL,BLR,19,12,Thursday,1377,Cloudy,15,1
UK,BOM,DEL,15,6,Saturday,1516,Fog,19,1
SG,BOM,CCU,3,3,Saturday,1852,Rain,25,1
AI,BLR,DEL,0,5,Wednesday,453,Fog,0,0
QP,CCU,BLR,2,11,Friday,1127,Clear,8,0
6E,BLR,MAA,8,12,Saturday,1580,Clear,0,0
AI,HYD,BOM,11,8,Saturday,843,Clear,8,0
SG,HYD,BLR,15,11,Friday,1658,Clear,0,0
SG,BLR,BOM,12,10,Monday,1324,Rain,22,1
SG,CCU,MAA,8,6,Wednesday,1197,Clear,29,1
AI,BOM,DEL,17,11,Tuesday,649,Clear,13,0
AI,DEL,HYD,20,1,Friday,1248,Fog,43,1
6E,MAA,BLR,5,10,Tuesday,517,Clear,0,0
UK,HYD,DEL,6,7,Monday,879,Clear,0,0
QP,BOM,CCU,22,8,Sunday,977,Fog,46,1
6E,CCU,MAA,23,12,Monday,626,Clear,0,0
AI,DEL,CCU,7,4,Saturday,619,Rain,23,1
QP,BOM,HYD,12,3,Sunday,1753,Clear,11,0
AI,DEL,CCU,13,8,Saturday,1049,Clear,15,1
AI,BOM,DEL,15,9,Thursday,613,Clear,7,0
UK,MAA,HYD,20,1,Thursday,911,Clear,1,0
UK,MAA,CCU,2,6,Saturday,1318,Clear,0,0
SG,HYD,MAA,12,5,Tuesday,1865,Cloudy,2,0
QP,CCU,BLR,5,10,Wednesday,1055,Clear,0,0
QP,DEL,CCU,18,11,Wednesday,701,Clear,11,0
6E,HYD,BOM,14,2,Tuesday,1074,Clear,0,0
QP,DEL,MAA,17,7,Thursday,1404,Cloudy,18,1
SG,CCU,MAA,21,9,Wednesday,568,Clear,16,1
AI,HYD,BLR,18,4,Monday,1237,Clear,7,0
QP,MAA,DEL,20,12,Monday,756,Fog,38,1
AI,HYD,BOM,19,11,Friday,1780,Fog,45,1
UK,BLR,DEL,15,3,Thursday,1007,Clear,0,0
SG,MAA,CCU,9,1,Saturday,1241,Clear,2,0
6E,CCU,HYD,8,7,Monday,1390,Cloudy,10,0
6E,BOM,CCU,8,11,Wednesday,1673,Clear,0,0
UK,CCU,BOM,14,9,Wednesday,547,Rain,30,1
QP,MAA,BLR,19,10,Friday,1008,Clear,13,0
6E,DEL,HYD,8,9,Thursday,553,Clear,2,0
SG,CCU,BOM,13,2,Thursday,676,Clear,7,0
UK,BOM,MAA,9,1,Sunday,1204,Clear,0,0
AI,HYD,CCU,14,1,Monday,936,Clear,0,0
SG,DEL,BLR,19,12,Sunday,1537,Cloudy,35,1
QP,BOM,DEL,9,12,Tuesday,1420,Fog,30,1
UK,HYD,CCU,9,11,Monday,1863,Clear,0,0
AI,MAA,BOM,4,1,Thursday,808,Cloudy,0,0
AI,MAA,BOM,11,11,Tuesday,1319,Clear,0,0
UK,BLR,HYD,10,12,Saturday,653,Rain,4,0
UK,MAA,BLR,3,10,Saturday,1059,Clear,0,0
UK,DEL,MAA,23,6,Wednesday,656,Clear,10,0
6E,CCU,HYD,20,2,Saturday,1702,Clear,8,0
UK,BOM,CCU,6,5,Tuesday,1240,Rain,35,1
6E,HYD,DEL,22,3,Wednesday,414,Clear,0,0
SG,CCU,BOM,6,8,Monday,962,Cloudy,16,1
SG,BOM,MAA,10,11,Friday,1414,Clear,9,0
SG,BLR,CCU,3,6,Saturday,1569,Cloudy,8,0
AI,MAA,DEL,14,1,Saturday,1214,Fog,27,1
QP,CCU,BLR,11,5,Wednesday,1181,,0,0
AI,BOM,BLR,6,10,Saturday,1833,Cloudy,8,0
QP,HYD,DEL,6,8,Friday,1768,Clear,6,0
AI,BOM,HYD,22,1,Friday,989,Clear,1,0
UK,HYD,CCU,16,5,Tuesday,1887,Clear,6,0
AI,BLR,MAA,3,5,Saturday,1492,Clear,1,0
AI,DEL,BLR,3,1,Saturday,678,Rain,21,1
SG,CCU,MAA,1,5,Sunday,1498,Clear,10,0
SG,HYD,BOM,5,10,Wednesday,872,Clear,0,0
AI,BLR,HYD,17,2,Thursday,1578,Clear,15,1
QP,DEL,BLR,1,7,Monday,739,Cloudy,17,1
6E,DEL,CCU,5,8,Friday,1047,Storm,36,1
6E,BLR,MAA,0,9,Thursday,1670,Rain,9,0
6E,HYD,DEL,15,4,Saturday,1568,Rain,10,0
UK,BOM,CCU,19,7,Saturday,729,Fog,36,1
AI,MAA,BOM,12,9,Sunday,1846,,16,1
UK,BLR,BOM,21,8,Sunday,1154,Clear,0,0
6E,DEL,BOM,16,11,Tuesday,1314,Clear,23,1
AI,HYD,BOM,18,3,Sunday,528,Fog,38,1
6E,BOM,CCU,7,2,Monday,480,Clear,0,0
SG,DEL,CCU,20,12,Thursday,982,Clear,16,1
SG,DEL,CCU,15,9,Sunday,899,Rain,42,1
6E,BOM,HYD,2,6,Friday,430,Clear,4,0
6E,HYD,BLR,1,7,Sunday,503,Rain,12,0
SG,CCU,BLR,21,12,Thursday,1426,Rain,22,1
SG,BOM,CCU,6,11,Friday,1320,Clear,13,0
QP,DEL,BOM,11,10,Thursday,1201,Rain,14,0
QP,BOM,MAA,18,8,Sunday,1333,Clear,25,1
QP,BOM,CCU,18,9,Monday,1882,Fog,52,1
QP,BOM,CCU,0,7,Wednesday,1043,Clear,9,0
UK,BOM,MAA,14,6,Friday,1898,Clear,11,0
6E,CCU,BLR,21,9,Thursday,746,Clear,16,1
6E,BLR,BOM,8,1,Sunday,1636,Cloudy,1,0
6E,HYD,CCU,13,10,Friday,1261,Cloudy,0,0
SG,MAA,DEL,6,4,Monday,652,Cloudy,6,0
SG,DEL,CCU,17,7,Friday,663,Rain,48,1
QP,BOM,BLR,2,8,Wednesday,579,Cloudy,22,1
AI,BLR,HYD,12,4,Thursday,1472,Rain,31,1
UK,BLR,BOM,9,4,Monday,756,Clear,11,0
6E,DEL,HYD,15,3,Sunday,1230,Storm,44,1
QP,HYD,DEL,11,2,Wednesday,1553,Rain,7,0
6E,BOM,MAA,23,11,Saturday,1313,Rain,17,1
AI,BOM,BLR,23,7,Thursday,680,Clear,2,0
UK,HYD,DEL,6,9,Sunday,749,Fog,31,1
QP,CCU,DEL,0,2,Wednesday,756,Clear,3,0
QP,CCU,BLR,11,11,Monday,1321,Clear,4,0
AI,CCU,BLR,14,4,Thursday,594,Clear,16,1
6E,BLR,HYD,18,6,Monday,1170,Fog,42,1
AI,DEL,BLR,12,7,Saturday,628,Fog,34,1
6E,BOM,HYD,14,9,Sunday,684,Clear,7,0
UK,BLR,BOM,0,2,Tuesday,875,Rain,3,0
6E,BOM,DEL,18,11,Monday,964,Clear,4,0
AI,BOM,MAA,7,2,Saturday,942,Clear,3,0
UK,DEL,HYD,9,8,Friday,1360,Cloudy,22,1
AI,BOM,CCU,10,3,Saturday,633,Clear,2,0
6E,HYD,DEL,1,12,Thursday,527,Cloudy,0,0
AI,BLR,CCU,11,8,Friday,1482,Clear,16,1
AI,DEL,BOM,9,12,Tuesday,953,Clear,3,0
UK,HYD,CCU,5,12,Wednesday,1349,Cloudy,0,0
QP,CCU,MAA,5,4,Friday,1549,Clear,11,0
SG,BLR,CCU,0,3,Sunday,792,Rain,33,1
AI,BOM,HYD,21,2,Wednesday,602,,13,0
AI,BOM,DEL,7,9,Wednesday,1385,Clear,18,1
6E,BLR,DEL,20,1,Friday,1430,Rain,34,1
SG,BOM,HYD,20,3,Monday,1331,Clear,11,0
SG,CCU,BLR,10,11,Friday,1709,Cloudy,40,1
QP,CCU,HYD,19,8,Monday,1071,Clear,21,1
6E,BLR,CCU,5,6,Friday,288,Clear,6,0
AI,CCU,DEL,4,2,Sunday,1672,Clear,7,0
AI,CCU,HYD,21,11,Sunday,1750,Fog,22,1
AI,DEL,MAA,15,11,Tuesday,1026,Clear,0,0
AI,BLR,MAA,16,1,Friday,848,Storm,71,1
QP,HYD,DEL,22,9,Thursday,1574,Cloudy,0,0
6E,BLR,DEL,0,4,Thursday,597,Clear,0,0
QP,BLR,HYD,4,9,Friday,532,Cloudy,15,1
UK,BLR,MAA,23,4,Sunday,1612,Cloudy,0,0
UK,MAA,CCU,3,1,Friday,720,Clear,5,0
UK,BOM,HYD,10,10,Thursday,1631,Clear,0,0
QP,HYD,BOM,0,11,Friday,1361,Rain,14,0
AI,BOM,CCU,7,9,Thursday,1866,Rain,36,1
AI,CCU,HYD,4,2,Wednesday,1651,Rain,27,1
UK,DEL,CCU,6,6,Saturday,1150,Rain,24,1
6E,DEL,MAA,19,7,Friday,1520,Clear,25,1
UK,DEL,MAA,6,10,Thursday,472,Clear,0,0
SG,BLR,DEL,19,10,Monday,1747,Cloudy,20,1
UK,HYD,BOM,21,11,Tuesday,1715,Clear,0,0
6E,CCU,BLR,12,8,Tuesday,706,Cloudy,11,0
6E,BLR,BOM,12,12,Friday,1275,Clear,0,0
SG,BOM,DEL,8,10,Monday,1766,Rain,25,1
6E,BLR,BOM,16,3,Wednesday,671,Clear,12,0
UK,DEL,CCU,19,9,Thursday,631,Rain,31,1
UK,BLR,CCU,20,2,Saturday,1937,Clear,21,1
SG,MAA,CCU,4,10,Tuesday,674,Fog,25,1
SG,DEL,BOM,16,3,Friday,578,Cloudy,27,1
UK,MAA,HYD,3,4,Thursday,987,Clear,0,0
6E,BOM,DEL,11,7,Saturday,1106,Clear,11,0
6E,MAA,DEL,2,5,Tuesday,680,Cloudy,0,0
UK,MAA,DEL,13,8,Friday,1552,Clear,0,0
6E,MAA,BOM,20,7,Wednesday,640,Rain,40,1
SG,MAA,DEL,19,8,Tuesday,1757,Rain,44,1
6E,MAA,CCU,17,8,Monday,1298,Cloudy,16,1
SG,BOM,HYD,13,3,Wednesday,969,Clear,4,0
SG,DEL,CCU,14,9,Thursday,1045,Clear,29,1
QP,BLR,DEL,2,12,Monday,551,Clear,0,0
AI,HYD,MAA,17,7,Saturday,1761,Clear,15,1
SG,HYD,BLR,16,8,Friday,1389,Cloudy,30,1
AI,MAA,BLR,3,9,Wednesday,1814,Clear,5,0
6E,BOM,CCU,15,2,Monday,564,Clear,0,0
AI,CCU,DEL,9,2,Friday,1896,Clear,24,1
AI,BLR,CCU,12,7,Monday,1567,Clear,4,0
AI,BOM,DEL,19,5,Wednesday,1229,Rain,42,1
AI,MAA,BLR,7,9,Tuesday,1181,Clear,16,1
QP,DEL,BLR,22,11,Tuesday,927,Clear,0,0
AI,BLR,HYD,10,10,Saturday,1324,Clear,8,0
6E,MAA,HYD,12,3,Wednesday,1789,Clear,0,0
SG,MAA,HYD,0,4,Tuesday,1536,Cloudy,2,0
QP,BOM,MAA,2,2,Wednesday,924,Rain,23,1
QP,DEL,MAA,6,2,Tuesday,1264,Cloudy,5,0
AI,DEL,CCU,23,9,Saturday,985,Storm,59,1
QP,DEL,BLR,6,9,Thursday,901,Clear,4,0
SG,MAA,BOM,9,3,Tuesday,1398,Clear,5,0
AI,MAA,DEL,20,9,Wednesday,955,Clear,12,0
UK,HYD,BOM,7,6,Sunday,1415,Cloudy,13,0
QP,HYD,BOM,19,11,Friday,1780,Clear,10,0
6E,BOM,DEL,2,9,Friday,655,Clear,2,0
AI,BOM,CCU,3,4,Saturday,1091,Clear,0,0
QP,DEL,CCU,0,6,Wednesday,543,Rain,21,1
QP,MAA,DEL,2,3,Wednesday,537,Clear,0,0
QP,DEL,MAA,14,11,Sunday,312,Clear,3,0
QP,DEL,HYD,2,7,Thursday,815,Clear,30,1
QP,MAA,BLR,14,11,Tuesday,567,Clear,0,0
UK,HYD,MAA,14,7,Sunday,1485,Cloudy,0,0
AI,BLR,HYD,5,7,Saturday,790,Cloudy,11,0
SG,BOM,HYD,0,3,Wednesday,780,Rain,44,1
6E,DEL,HYD,3,12,Tuesday,1699,Rain,24,1
UK,BLR,DEL,3,9,Friday,1333,Clear,0,0
SG,BLR,BOM,12,4,Thursday,1797,Rain,21,1
QP,HYD,CCU,22,11,Tuesday,1498,Cloudy,0,0
6E,DEL,BOM,10,3,Monday,666,Rain,34,1
6E,BOM,HYD,15,2,Saturday,1327,Clear,0,0
SG,DEL,BOM,7,9,Saturday,595,Clear,13,0
AI,BLR,HYD,2,9,Sunday,1163,Cloudy,18,1
UK,BOM,DEL,5,7,Wednesday,1851,Fog,30,1
SG,BOM,HYD,11,9,Friday,727,Fog,43,1
UK,HYD,CCU,20,4,Friday,1347,Clear,0,0
6E,BLR,HYD,5,4,Tuesday,597,Clear,0,0
QP,BOM,BLR,23,5,Sunday,1300,Rain,24,1
6E,MAA,HYD,15,3,Wednesday,593,Clear,0,0
SG,BLR,MAA,8,3,Monday,1851,Clear,8,0
UK,BLR,MAA,14,1,Tuesday,890,Storm,31,1
AI,BLR,HYD,16,3,Sunday,1783,Clear,18,1
UK,DEL,BOM,16,7,Monday,1886,Clear,19,1
AI,BLR,HYD,20,5,Thursday,684,Clear,0,0
QP,HYD,DEL,15,6,Thursday,1172,Clear,2,0
SG,DEL,CCU,0,12,Saturday,1336,Clear,0,0
6E,HYD,BLR,9,1,Saturday,1025,Fog,22,1
UK,DEL,BOM,21,11,Thursday,1453,Rain,21,1
SG,HYD,MAA,4,1,Friday,1167,Clear,18,1
6E,DEL,HYD,11,7,Saturday,1614,Rain,20,1
6E,BOM,BLR,12,2,Saturday,1400,Clear,0,0
UK,BLR,DEL,13,6,Sunday,1075,Clear,0,0
6E,HYD,MAA,20,11,Friday,1608,Clear,2,0
SG,MAA,BLR,12,1,Wednesday,1301,Clear,17,1
AI,BLR,CCU,0,7,Thursday,842,Clear,0,0
QP,DEL,HYD,5,6,Saturday,954,Clear,0,0
6E,BLR,HYD,15,6,Wednesday,615,Fog,35,1
UK,MAA,BOM,18,8,Sunday,1039,Cloudy,24,1
AI,DEL,BLR,15,4,Thursday,1307,Clear,5,0
6E,MAA,DEL,17,10,Saturday,1426,Fog,34,1
SG,BLR,HYD,5,3,Thursday,1624,Clear,9,0
6E,DEL,MAA,2,5,Sunday,571,Clear,7,0
AI,MAA,BLR,22,6,Friday,981,Clear,0,0
UK,DEL,HYD,13,12,Saturday,1556,Clear,0,0
AI,BLR,MAA,17,7,Saturday,1329,Clear,12,0
6E,BOM,HYD,22,11,Wednesday,1221,Clear,0,0
UK,HYD,MAA,4,2,Wednesday,1715,Clear,0,0
UK,DEL,BLR,20,1,Saturday,1563,Clear,16,1
SG,DEL,HYD,8,7,Thursday,1161,Clear,17,1
SG,HYD,DEL,15,11,Friday,1648,Cloudy,13,0
QP,CCU,HYD,9,3,Thursday,789,Clear,3,0
AI,DEL,HYD,4,3,Monday,1311,Cloudy,5,0
6E,BLR,MAA,21,2,Thursday,729,Clear,0,0
